text,label
Marcus Rashford still wants to remain at Barcelona permanently after his loan spell but a deal is currently looking very unlikely. Barça considers the €30M purchase option agreed with Man United to be too expensive and have seen a €15M bid rejected by the English club.,news
Atlético Madrid have proposed a 𝐒𝐖𝐀𝐏 𝐃𝐄𝐀𝐋 to Arsenal for Julián Álvarez + €50-60M for Viktor Gyökeres. Álvarez is pushing for Barcelona however Arsenal want to keep Gyökeres.,news
Why do they call it ( Rugby) football when 90% of the sport is played using the hands?,hot take
Nobody fears Ronaldo anymore,hot take
"For me it's that Erling Haaland is quite rubbish, don't get me wrong he is good but he simply cannot peform against the good teams",hot take
Thierry Henry is better than  Luis Suarez,hot take
Manuel Neuer is the Top 10 All-Time,hot take
Watching amateurs/Sunday league at the park is fun,reaction
Morata is fucking used as part of a money laundering scheme between clubs,hot take
Andres iniesta is the best midfielder of all time. If he didn't play in the same club team as Messi and people were not obsessed with stats he would have 3 BDRs,hot take
"Lionel Messi broke the men's all-time World Cup scoring record, while Cristinao Ronaldo also etched him name into the history books by scoring twice in a 3-0 victory over Uzbekistan.",news
Cape Verde continues its dream run by holding both Spain and Uruguay to draws in their tournament debut.,news
"France cruised to a 3-0 victory over Iraq, despite a severe, two-hour weather delay.",news
Absoultely hate Karim Benzema for more than 15 reasons.,reaction
Lamine Yamal WILL be the best player in the world in years to come.,hot take
The coverage and narrative around the carabao cup final yesterday was a joke.,hot take
This how Newcastle United are scamming the system.,hot take
